Nr;DateTime;SPY Open;SPY High;SPY Low;SPY Close;SPY Volume;SPY Yield C/O;^GDAXI Open;^GDAXI High;^GDAXI Low;^GDAXI Close;^GDAXI Volume;^GDAXI Yield C/O
267;2004/07/19 12:00:000;110,75;112,06;108,69;108,96;52920200;-1,6294566524042882;3845,03;3899,42;3785,29;3797,33;0;-1,2483217075735262
268;2004/07/26 12:00:000;109,19;110,9;108,21;110,84;52123700;1,4998235968802902;3795,66;3911,3;3749,04;3895,61;0;2,599196933032623
269;2004/08/02 12:00:000;110,19;111,36;106,62;106,85;49095200;-3,0780166734529004;3891,18;3891,78;3719,46;3727,74;0;-4,291030163186182
270;2004/08/09 12:00:000;107,02;108,41;106,59;107,19;47586100;0,15872278202695428;3726,51;3736,55;3618,69;3646,99;0;-2,156996897609766
271;2004/08/16 12:00:000;107,14;110,63;107,1;110,48;42870200;3,069811864822248;3643,08;3758,51;3618,58;3712,61;0;1,8905655611047512
272;2004/08/23 12:00:000;110,55;111,63;109,85;111,45;30856400;0,8108152528422525;3722,23;3856,03;3722,23;3851,18;0;3,4056643801789397
273;2004/08/30 12:00:000;111,22;112,82;110,1;112,12;39369400;0,8059504537169597;3848,8;3882,78;3778,19;3866,99;0;0,47150152347425134
276;2004/09/13 12:00:000;113,31;113,74;112,68;113,15;33667300;-0,14130533129287912;3890,29;4000,13;3890,29;3988,07;0;2,48236996233529
277;2004/09/20 12:00:000;112,67;113,47;110,95;111,46;41232400;-1,0797410034684352;3986,33;3999,47;3887,84;3910,3;0;-1,925691073122403
278;2004/09/27 12:00:000;111,1;113,65;110,41;113,65;44140900;2,269285365296808;3905,74;3996,11;3848,28;3994,96;0;2,2586300673592024
279;2004/10/04 12:00:000;114,1;114,68;112,35;112,51;40710400;-1,4033150285049318;4005,64;4078,5;4001,52;4015,54;0;0,2468465993031383
280;2004/10/11 12:00:000;112,78;113,07;110,57;111,26;48752100;-1,3569213731888847;4011,83;4026,99;3897,48;3922,11;0;-2,261772202489064
281;2004/10/18 12:00:000;110,89;112,23;109,75;109,99;51695200;-0,814926639609921;3926,51;3983,45;3889,72;3935,14;0;0,21954687543817214
